cluster_id,n,pattern_label,top_theme,dominant_collab_type,dominant_esg_block,dominant_partner_type,top_mechanisms,example_initiatives_with_evidence
12,16,gem / management / china,emissions_reduction,BN,E,other,"donation_philanthropy (7/16), training_education (7/16), emissions_carbon (7/16)","Bank of China | Employment Promotion Week for College Graduates | BG/S | Bank of China 2024.pdf p3 | For the fourth consecutive year, we supported the ""Employment Promotion Week for College Graduates"", organised || CRRC | It has developed the Measures for the Management of the National High- | BN/X | CRRC 2024.pdf p37 | It has developed the Measures for the Management of the National High- Speed Train Technology || China Development Bank Financial Leasing | The amount of greenhouse gases was presented in carbon dioxide equivalent, and | BG/E | China Development Bank Financial Leasing.pdf p71 | The amount of greenhouse gases was presented in carbon dioxide equivalent, and GHG emissions (Scope"
11,15,foundation / launched / 2024,innovation_green_tech,BN,X,ngo_public,"donation_philanthropy (13/15), joint_research_innovation (5/15), health_medical (4/15)","ANT Group | Innovation Green Tech initiative (BG) | BG/X | ANT Group 2024.pdf p39 | Digital employment: In September 2023, Digital Engine reached strategic cooperation with the People's Government of || ANT Group | we introduced the Advanced AI-Driven Foundation Model Identiﬁcation System, which runs on | BN/X | ANT Group 2024.pdf p72 | In 2024, we introduced the Advanced AI-Driven Foundation Model Identiﬁcation System, which runs on the || ANTA Sports Products Ltd | One medical aid project The Hemin Foundation set up by the founding | BN/S | ANTA Sports Products Ltd 2024.pdf p32 | One medical aid project The Hemin Foundation set up by the founding family of the"
2,12,public / education / welfare,training_education,BS,S,academia_health,"donation_philanthropy (8/12), training_education (6/12), joint_research_innovation (4/12)","China Development Bank Financial Leasing | Community Development initiative (BG) | BG/S | China Development Bank Financial Leasing.pdf p53 | In March 2024, the Group collaborated with the Nanshan District Disabled Persons’ Federation and Huafu || China State Construction | To build a robust talent pipeline for rural revitalization, we have organized | BS/S | China State Construction 2024.pdf p75 | To build a robust talent pipeline for rural revitalization, we have organized two rural revitalization || Esquel | Training Education initiative (BN) | BN/S | Esquel 2024.pdf p52 | 52 Pioneering Sustainable Well-being Sustainability Tours at Integral In collaboration with the YL Yang Foundation,"
3,10,sustainable development / development / sustainable,water_management,BN,E,other,"water (3/10), donation_philanthropy (2/10), training_education (2/10)","ANT Group | Emissions Reduction initiative (BN) | BN/E | ANT Group 2024.pdf p8 | ESG Sustainable Development Oﬃce Ant Group's ESG governance structure Board of Directors of Ant Group || CHINT Group | Sino-Africa Corporate Community Action Network on Sustainable Development | BN/S | CHINT Group 2024.pdf p10 | On 26 April 2024, the UN Global Compact organization held the launching ceremony of the || China Shenhua Energy | Innovation Green Tech initiative (BG) | BG/X | China Shenhua Energy 2024.pdf p71 | / 2024 Environmental, Social and Governance Report 68 The black sheep trading centre in Butuo"
9,9,tcl / charity foundation / smart,innovation_green_tech,BN,S,ngo_public,"donation_philanthropy (7/9), training_education (5/9), joint_research_innovation (5/9)","ANT Group | Innovation Green Tech initiative (BN) | BN/X | ANT Group 2024.pdf p45 | Promoting collaboration in medical research and empowering the development of smart healthcare In 2024, Ant || Bank of China | Educational aid » BOC-Samsung Life, in collaboration with the Palace Museum and | BN/S | Bank of China 2024.pdf p47 | Educational aid » BOC-Samsung Life, in collaboration with the Palace Museum and the Sina Yangfan || Meituan | Innovation Green Tech initiative (BN) | BN/X | Meituan 2024.pdf p15 | In June 2024 As of August 1, 2024 Special Feature The Daishubaobei Child-friendly Space ·"
6,8,biodiversity / 2023 / fii,biodiversity_ecosystems,BN,E,other,"emissions_carbon (3/8), biodiversity_wildlife (3/8), donation_philanthropy (2/8)","CNGR | Strategy In 2024, CNGR developed its Biodiversity and Land Use Policy based | BN/E | CNGR 2024.pdf p65 | Strategy In 2024, CNGR developed its Biodiversity and Land Use Policy based on the requirements || China Shenhua Energy | Biodiversity Ecosystems initiative (BG) | BG/E | China Shenhua Energy 2024.pdf p55 | In line with the United Nations Convention on Biological Diversity and the China Biodiversity Conservation || Foxconn Industrial Internet | Fii officially joined the United Nations Global Compact (UNGC), further reinforcing its | BN/X | Foxconn Industrial Internet 2024.pdf p4 | In 2024, Fii officially joined the United Nations Global Compact (UNGC), further reinforcing its commitment"
13,7,participate / rights / suppliers,labor_rights,BN,S,other,"training_education (3/7), joint_research_innovation (2/7), donation_philanthropy (1/7)","Jinko Solar | Labor Rights initiative (BN) | BN/S | Jinko Solar 2024.pdf p26 | During the reporting period, based on local laws, the UN Guiding Principles on Business and || Nanjing Steel | By the end of 2024, we have established three four-star and one | BG/S | Nanjing Steel 2024.pdf p56 | By the end of 2024, we have established three four-star and one five-star ""Loving Maternal || PING AN | Partnerships General initiative (BN) | BN/X | PING AN 2024.pdf p13 | The qualified teams not only have the opportunity to receive the Inspiration Program scholarships, but"
0,6,gree / hvac / china,renewable_energy,BG,X,academia_health,"training_education (3/6), joint_research_innovation (3/6), renewable_energy (2/6)","Gree | Renewable Energy initiative (BG) | BG/E | Gree 2024.pdf p28 | China Unicom 5G base stations, photovoltaics, energy storage applications Jointly built up China’s first end-to-end || Gree | Renewable Energy initiative (BG) | BG/E | Gree 2024.pdf p51 | Gree Electric Co-hosts Technical Exchange Conference within the Industry Gree Electric Participates in the SNEC || Gree | Innovation Green Tech initiative (BS) | BS/X | Gree 2024.pdf p61 | Class of Special Courses Key Universities and Enterprises Exchange Meeting University Student Innovation Practice Camp"
1,5,huayou / sustainability / huayou cobalt,innovation_green_tech,BN,X,ngo_public,"joint_research_innovation (4/5), training_education (1/5), emissions_carbon (1/5)","Inovance | Emissions Reduction initiative (BN) | BN/E | Inovance 2024.pdf p12 | Corporate governance Lean innovation Responsibility ecology Low carbon pioneer The Six Dimensions of ESG Strategy || Zhejiang Huayou Cobalt | Innovation Green Tech initiative (BN) | BN/X | Zhejiang Huayou Cobalt 2024.pdf p16 | 2024 Sustainability Report Sustainability Management Building Foundations Together with Partners Innovation Leads, Prosperity with Friends || Zhejiang Huayou Cobalt | Risk Management initiative (BN) | BN/G | Zhejiang Huayou Cobalt 2024.pdf p20 | 36 37 About This Report 2024 Sustainability Report HUAYOU COBALT Building Foundations Together with Partners"
4,5,governance / social / governance report,emissions_reduction,BN,E,ngo_public,"emissions_carbon (4/5), donation_philanthropy (3/5), biodiversity_wildlife (3/5)","ENN Natural Gas Co | Emissions Reduction initiative (BN) | BN/E | ENN Natural Gas Co 2024.pdf p13 | 2024 Environmental, Social and Governance Report Safe Energy Supply: Laying the Foundation for Social Development || ENN Natural Gas Co | Emissions Reduction initiative (BN) | BN/E | ENN Natural Gas Co 2024.pdf p19 | 2024 Environmental, Social and Governance Report Safe Energy Supply: Laying the Foundation for Social Development || ENN Natural Gas Co | Emissions Reduction initiative (BN) | BN/E | ENN Natural Gas Co 2024.pdf p20 | 2024 Environmental, Social and Governance Report Safe Energy Supply: Laying the Foundation for Social Development"
